Volatility 3 Framework 2.0.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

4	System	0x8413a940	0x4	Process	0x1fffff	System Pid 4
4	System	0x87a10d50	0x8	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\HIVELIST
4	System	0x87a08df8	0xc	Directory	0xf000f	GLOBAL??
4	System	0x87a0fde8	0x10	Key	0x0	
4	System	0x87a618e8	0x14	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRODUCTOPTIONS
4	System	0x87a5c858	0x18	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
4	System	0x87a62910	0x1c	Key	0x2001f	MACHINE\SYSTEM\SETUP
4	System	0x8419aaf0	0x20	ALPC Port	0x1f0001	PowerMonitorPort
4	System	0x8419af00	0x24	ALPC Port	0x1f0001	PowerPort
4	System	0x87a448a8	0x28	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
4	System	0x84a5e8c8	0x2c	Thread	0x1fffff	Tid 156 Pid 4
4	System	0x87a5f420	0x30	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001
4	System	0x87a5f2c8	0x34	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\ENUM
4	System	0x87a5c970	0x38	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS
4	System	0x87a5b5d0	0x3c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\SERVICES
4	System	0x87a4f828	0x40	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\WMI\SECURITY
4	System	0x84fe9bf8	0x44	ALPC Port	0x1f0001	SeRmCommandPort
4	System	0x87bc4468	0x48	Token	0xe	
4	System	0x85668148	0x4c	File	0x2020003	\Device\HarddiskVolume1\Windows\System32\config\SOFTWARE
4	System	0x87b7a0a8	0x50	Key	0x11	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
4	System	0x850e8320	0x54	File	0x3	\Device\HarddiskVolume1\Windows\System32\config\SYSTEM.LOG1
4	System	0x85b88d68	0x58	File	0x12019f	\Device\Tcp
4	System	0x91876d88	0x5c	File	0x120116	\Device\Mup
4	System	0x8c6fe4a8	0x60	File	0x2020003	\Device\HarddiskVolume1\Boot\BCD
4	System	0x85f2e738	0x64	File	0x12019f	\Device\NamedPipe\
4	System	0x8508d5b0	0x68	File	0x2000003	\Device\HarddiskVolume1\Boot\BCD.LOG
4	System	0x8e6fa8c0	0x6c	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\BIOS
4	System	0x854b5e18	0x70	File	0x10003	\Device\HarddiskVolume1\Windows\System32\config\RegBack\SYSTEM
4	System	0x9620e648	0x74	Key	0x9	MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS
4	System	0x87bd13c8	0x78	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
4	System	0x90dfebd8	0x7c	Process	0x2a	System Pid 236
4	System	0x85672838	0x80	File	0x2000003	\Device\HarddiskVolume1\Windows\System32\config\SOFTWARE.LOG1
4	System	0x856aa020	0x84	Thread	0x0	Tid 292 Pid 4
